Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
biotin-zinc-hair,Man Matters Biotin + Zinc for Hair,"<p>10000mcg Biotin and Zinc to support hair density and reduce hair fall. Targets follicle strength and the hair growth cycle. Dermatologist recommended. Suitable for men and women.</p>",Man Matters,Supplement,"hair, biotin, zinc, hair fall, hair growth, hair health",TRUE,Pack Size,30 Days Supply (60 Tablets),MM-BIOTIN-30,80,shopify,999,deny,manual,499.00,599.00,TRUE,TRUE,active
biotin-zinc-hair,,,,,,,, 90 Days Supply (180 Tablets),MM-BIOTIN-90,220,shopify,999,deny,manual,1299.00,1797.00,TRUE,TRUE,active
biotin-zinc-hair,,,,,,,,Hair + Beard 30 Days (60 Tablets),MM-BIOTIN-BEARD,80,shopify,999,deny,manual,549.00,699.00,TRUE,TRUE,active
iron-vitamin-c,Be Bodywise Iron + Vitamin C Complex,"<p>Premium ferrous bisglycinate with Vitamin C for 67% higher iron absorption. Addresses iron deficiency — the number one nutrient gap in Indian diets. Ideal for women and vegetarians.</p>",Be Bodywise,Supplement,"iron, vitamin c, energy, anaemia, fatigue, women, vegetarian",TRUE,Pack Size,30 Days Supply (60 Capsules),BB-IRON-30,90,shopify,999,deny,manual,449.00,499.00,TRUE,TRUE,active
iron-vitamin-c,,,,,,,,90 Days Supply (180 Capsules),BB-IRON-90,240,shopify,999,deny,manual,1199.00,1497.00,TRUE,TRUE,active
ashwagandha-ksm66,Root Labs Ashwagandha KSM-66,"<p>Certified KSM-66 Ashwagandha — the most clinically researched ashwagandha extract. Reduces cortisol by up to 28% and improves stress resilience. 5% withanolides guaranteed. Gold standard adaptogen.</p>",Root Labs,Supplement,"ashwagandha, ksm-66, stress, cortisol, sleep, adaptogen, anxiety",TRUE,Pack Size,30 Days Supply (60 Capsules),RL-ASHWA-30,90,shopify,999,deny,manual,399.00,499.00,TRUE,TRUE,active
ashwagandha-ksm66,,,,,,,,90 Days Supply (180 Capsules),RL-ASHWA-90,240,shopify,999,deny,manual,999.00,1497.00,TRUE,TRUE,active
magnesium-b6,Root Labs Magnesium Bisglycinate + B6,"<p>Magnesium bisglycinate — the most bioavailable form with 4x better absorption than magnesium oxide. Paired with Vitamin B6 for enhanced uptake. Activates GABA receptors for deep sleep and muscle recovery. No GI side effects.</p>",Root Labs,Supplement,"magnesium, b6, sleep, muscle recovery, relaxation, bisglycinate, insomnia",TRUE,Pack Size,30 Days Supply (60 Capsules),RL-MAG-30,90,shopify,999,deny,manual,349.00,449.00,TRUE,TRUE,active
magnesium-b6,,,,,,,,90 Days Supply (180 Capsules),RL-MAG-90,240,shopify,999,deny,manual,899.00,1347.00,TRUE,TRUE,active
daily-probiotics,Be Bodywise Daily Probiotics,"<p>50 Billion CFU with 16 clinically studied strains. Shelf-stable formula — no refrigeration needed. Supports gut lining integrity and immune function. Aids nutrient absorption and reduces bloating.</p>",Be Bodywise,Supplement,"probiotics, gut health, immunity, digestion, microbiome, bloating",TRUE,Pack Size,30 Days Supply (30 Capsules),BB-PROB-30,60,shopify,999,deny,manual,549.00,649.00,TRUE,TRUE,active
daily-probiotics,,,,,,,,90 Days Supply (90 Capsules),BB-PROB-90,160,shopify,999,deny,manual,1399.00,1947.00,TRUE,TRUE,active
whey-protein-isolate,OWN Whey Protein Isolate,"<p>26g protein per scoop from 100% whey isolate. Zero amino spiking — third-party lab tested for purity. Fast-absorbing and low lactose. Mixes clean with no clumping.</p>",OWN,Supplement,"whey protein, isolate, protein, performance, muscle, post-workout, gym",TRUE,Pack Size,500g (approx. 19 servings),OWN-WHEY-500,550,shopify,999,deny,manual,1499.00,1799.00,TRUE,TRUE,active
whey-protein-isolate,,,,,,,,1kg (approx. 38 servings),OWN-WHEY-1KG,1100,shopify,999,deny,manual,2999.00,3499.00,TRUE,TRUE,active
creatine-monohydrate,Man Matters Creatine Monohydrate,"<p>Micronised creatine monohydrate for 66% higher dissolution and absorption. Supports strength output and cognitive performance. Unflavored — mixes with water or any protein shake. Suitable for all fitness levels.</p>",Man Matters,Supplement,"creatine, monohydrate, performance, strength, muscle, cognitive, gym",TRUE,Pack Size,125g (25 servings),MM-CREATINE-125,150,shopify,999,deny,manual,549.00,599.00,TRUE,TRUE,active
creatine-monohydrate,,,,,,,,250g (50 servings),MM-CREATINE-250,280,shopify,999,deny,manual,899.00,1099.00,TRUE,TRUE,active
kids-multivitamin-gummies,Little Joys Kids Daily Multivitamin Gummies,"<p>Complete nutrition for growing kids aged 3 to 12. Contains 15 essential vitamins and minerals including Vitamin D3 and B12. No artificial colours or preservatives. Natural fruit flavours kids love.</p>",Little Joys,Supplement,"kids, multivitamin, gummies, children, vitamins, immunity, vitamin d",TRUE,Pack Size,30 Days Supply (30 Gummies),LJ-KIDSMV-30,130,shopify,999,deny,manual,399.00,449.00,TRUE,TRUE,active
kids-multivitamin-gummies,,,,,,,,90 Days Supply (90 Gummies),LJ-KIDSMV-90,360,shopify,999,deny,manual,999.00,1197.00,TRUE,TRUE,active
